project_id,project,needs_regs_default,planning_overlap,preferred_route,approved_documents,evidence,inspection_stages,red_flags
single_storey_extension,Single-storey extension,yes,often,full_plans_for_complex_or_large; building_notice_for_simple_domestic_when_allowed,A; B; C; F; G; H; K; L; M; O,existing and proposed plans; structural calculations if openings/steelwork/foundations; drainage layout; insulation and energy details; fire safety and escape notes; ventilation strategy,commencement; foundation excavation; foundation concrete; oversite/dpc; drainage before cover; structural steel/beams; insulation before cover; roof structure; final completion,building over or near drains; large glazed areas; open-plan layout affecting escape; party wall matters; sewer build-over agreement may be separate
two_storey_extension,Two-storey extension,yes,usually,full_plans,A; B; C; F; G; H; K; L; M; O,full architectural drawings; structural design; foundation design; drainage design; fire escape and smoke alarm strategy; energy calculations/details,commencement; foundations; drainage; structural frame; upper floor/roof structure; fire stopping; insulation; final completion,stair/landing protection; means of escape from upper floors; soil conditions/trees; overlooking/planning separate
loft_conversion,Loft conversion,yes,sometimes,full_plans,A; B; F; K; L; M; P,structural calculations for floor/roof changes; fire safety strategy; stairs layout; insulation and ventilation details; roof window/dormer drawings,commencement; structural steels/floor joists; fire protection before cover; insulation; stair installation; final completion,protected stair route; doors/smoke alarms; head height; neighbouring chimney/party wall; dormer planning rules separate
garage_conversion,Garage conversion,yes,sometimes,building_notice_possible_but_full_plans_better_for_uncertainty,A; B; C; F; L; M; P,floor insulation/moisture details; wall and roof insulation details; ventilation strategy; new openings lintel details; fire separation where attached,commencement; floor build-up before cover; damp proofing; insulation; new openings/structure; final completion,garage floor level/damp; former vehicle door infill; escape window/light/ventilation; parking condition under planning
load_bearing_wall_removal,Removing a load-bearing wall,yes,rarely unless listed/structural external changes,building_notice_possible_if_simple; full_plans_for_complex,A; B; K,structural engineer calculations; beam specification; padstone/bearing details; method/support sequence; fire protection to steel where required,before works/open-up; beam/steel before cover; fire protection before cover; completion,party wall; chimney support; open-plan fire escape impact; work started without inspection
chimney_breast_removal,Chimney breast removal,yes_if_structural,possible in listed/conservation/external stack changes,full_plans_or_building_notice_with_structural_calcs,A; B,structural calculations; support details/gallows bracket suitability where allowed; neighbour/party wall evidence; fire stopping details,open-up; support installation; fire stopping/making good; completion,shared chimney stack; removed lower breast with stack above; listed building consent separate
bathroom_installation,Installing a new bathroom,yes_if_new_drainage_plumbing_or_electrics,rarely,competent_person_for_electrics_where_possible; building_control_if_new_drainage_or_notifiable_work,F; G; H; P,drainage route; ventilation extract details; hot water/scalding notes; electrical certificate if applicable,drainage before cover; ventilation duct route; electrical certification; completion,electrics near bath/shower; new soil pipe route; poor extract termination; flat lease/freeholder constraints
kitchen_refit,Kitchen refit,sometimes,rarely,competent_person_for_electrics_gas; building_control_if_structural_or_new_drainage,F; G; H; J; P,gas/electrical certificates; extract ventilation details; drainage changes; structural calculations if wall removed,structure if altered; drainage if altered; services certificates; completion,load-bearing wall removed during refit; gas appliance/flue changes; new circuits; extract not ducted correctly
replacement_windows_doors,Replacement windows and doors,yes_unless_competent_person_or_exempt_door_cases,sometimes in conservation/listed/flats,competent_person_scheme,B; F; K; L; M; Q,FENSA/CERTASS or equivalent certificate; safety glazing locations; escape window details where relevant; trickle ventilation/ventilation strategy,usually certified by installer; completion certificate/evidence retained,removing escape window function; insufficient background ventilation; listed building/conservation area; new opening/lintel needed
electrical_work,Electrical work,sometimes,rarely,registered electrician/competent_person_scheme_for_notifiable_work,P,electrical installation certificate; building regulations compliance certificate for notifiable work; circuit details,first fix if building control route; test certificate; completion,bathroom/shower zones; new consumer unit/fuse box; new circuit; DIY work without inspection route
boiler_or_heating_system,Boiler or heating system replacement,yes_unless_competent_person,sometimes for flues in sensitive locations,Gas Safe/OFTEC/HETAS/MCS as relevant,G; J; L,installer compliance certificate; commissioning certificate; flue location; controls/energy details,usually installer certification; completion certificate/evidence retained,flue termination near boundary/opening; unvented cylinder; solid fuel appliance; heat pump/noise/planning overlap
roof_covering_replacement,Replacing roof coverings,often_if_significant_or_thermal_element,sometimes,building_control_or_competent_scheme_where_available,A; C; L,roof covering specification; structural load check if heavier covering; insulation details if thermal upgrade triggered; moisture/ventilation details,before cover; insulation/ventilation; completion,changing to heavier tiles; condensation risk; conservation/listed restrictions; working at height/contractor competence
solar_panels,Solar panels,yes_for_structural_and_electrical_aspects,sometimes/permitted_development_rules_separate,MCS/electrical competent person plus structural suitability check,A; B; P,roof structural suitability; electrical certificate; MCS certificate where applicable; fire/service routing notes,installer survey; electrical testing; completion documentation,weak roof/old roof covering; flat roof ballast loads; battery storage/fire location; listed/conservation planning rules
outbuilding_or_garden_room,Outbuilding or garden room,depends_on_size_sleeping_accommodation_and_services,often,approval_needed_if_sleeping_accommodation_or_over_exemption_thresholds_or_services_complex,A; B; C; F; H; L; P,size/use statement; sleeping accommodation answer; electrical certification; foundations/floor details; insulation if heated; drainage if plumbing,foundation/base; structure; insulation/services; completion,used as bedroom/annexe; close to boundary/fire spread; toilet/shower drainage; commercial use
