slug,title,status,primary_intent,word_target,component_needs
home,Home,batch_02_full_markdown_draft,"Homeowner-first hub for building regulations, approvals, building control bodies, project checklists and certificates.",900-1400 after Codex polish,answer_panel; route_card; evidence_checklist; inspection_checklist; approved_document_links; faq_schema
building-regulations,Building Regulations Explained,batch_02_full_markdown_draft,"Plain-English overview of what building regulations are, how they differ from planning, and when they bite.",900-1400 after Codex polish,answer_panel; route_card; evidence_checklist; inspection_checklist; approved_document_links; faq_schema
do-i-need-building-regulations-approval,Do I Need Building Regulations Approval?,batch_02_full_markdown_draft,"Decision page for whether a project needs approval, a competent person certificate, or further checking.",900-1400 after Codex polish,answer_panel; route_card; evidence_checklist; inspection_checklist; approved_document_links; faq_schema
planning-permission-vs-building-regulations,Planning Permission vs Building Regulations,batch_02_full_markdown_draft,Clear split between land-use/design permission and technical construction compliance.,900-1400 after Codex polish,answer_panel; route_card; evidence_checklist; inspection_checklist; approved_document_links; faq_schema
building-control-body,What Is a Building Control Body?,batch_02_full_markdown_draft,"Explain local authority building control, registered building control approvers, and when BSR applies.",900-1400 after Codex polish,answer_panel; route_card; evidence_checklist; inspection_checklist; approved_document_links; faq_schema
local-authority-building-control-vs-registered-approver,Local Authority Building Control vs Registered Approver,batch_02_full_markdown_draft,Comparison page to help homeowners choose a route without giving legal advice.,900-1400 after Codex polish,answer_panel; route_card; evidence_checklist; inspection_checklist; approved_document_links; faq_schema
full-plans-application,Full Plans Application,batch_02_full_markdown_draft,"Explain the safer pre-check route, what plans/specifications are needed, and when it is best.",900-1400 after Codex polish,answer_panel; route_card; evidence_checklist; inspection_checklist; approved_document_links; faq_schema
building-notice,Building Notice,batch_02_full_markdown_draft,"Explain the lighter domestic route, limitations, risk, and when not to use it.",900-1400 after Codex polish,answer_panel; route_card; evidence_checklist; inspection_checklist; approved_document_links; faq_schema
full-plans-vs-building-notice,Full Plans vs Building Notice,batch_02_full_markdown_draft,Tool-supporting comparison page with conversion prompts and risk flags.,900-1400 after Codex polish,answer_panel; route_card; evidence_checklist; inspection_checklist; approved_document_links; faq_schema
regularisation-certificate,Regularisation Certificate,batch_02_full_markdown_draft,For unauthorised historic building work and sale/mortgage evidence problems.,900-1400 after Codex polish,answer_panel; route_card; evidence_checklist; inspection_checklist; approved_document_links; faq_schema
competent-person-schemes,Competent Person Schemes,batch_02_full_markdown_draft,"Explain self-certification and evidence for windows, electrics, heating, renewables and more.",900-1400 after Codex polish,answer_panel; route_card; evidence_checklist; inspection_checklist; approved_document_links; faq_schema
completion-certificate,Completion Certificate,batch_02_full_markdown_draft,Explain why completion evidence matters and how users can avoid missing sign-off.,900-1400 after Codex polish,answer_panel; route_card; evidence_checklist; inspection_checklist; approved_document_links; faq_schema
building-control-inspections,Building Control Inspections,batch_02_full_markdown_draft,Explain likely inspection stages and why users must notify before covering work.,900-1400 after Codex polish,answer_panel; route_card; evidence_checklist; inspection_checklist; approved_document_links; faq_schema
drawings-and-specifications,Drawings and Specifications,batch_02_full_markdown_draft,What a homeowner may need to prepare before applying for approval.,900-1400 after Codex polish,answer_panel; route_card; evidence_checklist; inspection_checklist; approved_document_links; faq_schema
structural-calculations,Structural Calculations,batch_02_full_markdown_draft,"When calculations are likely, especially for walls, lofts, extensions and roof changes.",900-1400 after Codex polish,answer_panel; route_card; evidence_checklist; inspection_checklist; approved_document_links; faq_schema
higher-risk-buildings,Higher-Risk Buildings,batch_02_full_markdown_draft,Safe routing page for BSR/high-rise rules and why normal domestic guidance is not enough.,900-1400 after Codex polish,answer_panel; route_card; evidence_checklist; inspection_checklist; approved_document_links; faq_schema
extensions,Extensions,batch_02_full_markdown_draft,"Hub for single-storey, two-storey and side/rear extensions with regs-first checklist.",900-1400 after Codex polish,answer_panel; route_card; evidence_checklist; inspection_checklist; approved_document_links; faq_schema
single-storey-extensions,Single-Storey Extensions,batch_02_full_markdown_draft,"Project page covering foundations, drains, structure, insulation, ventilation and completion.",900-1400 after Codex polish,answer_panel; route_card; evidence_checklist; inspection_checklist; approved_document_links; faq_schema
two-storey-extensions,Two-Storey Extensions,batch_02_full_markdown_draft,"Project page covering structure, fire escape, stairs, foundations and full plans preference.",900-1400 after Codex polish,answer_panel; route_card; evidence_checklist; inspection_checklist; approved_document_links; faq_schema
loft-conversions,Loft Conversions,batch_02_full_markdown_draft,"Project page focused on structure, stairs, protected escape, fire doors, alarms, ventilation and insulation.",900-1400 after Codex polish,answer_panel; route_card; evidence_checklist; inspection_checklist; approved_document_links; faq_schema
garage-conversions,Garage Conversions,batch_02_full_markdown_draft,"Project page for garage-to-room conversions, damp, insulation, ventilation, floor build-up and escape.",900-1400 after Codex polish,answer_panel; route_card; evidence_checklist; inspection_checklist; approved_document_links; faq_schema
removing-load-bearing-wall,Removing a Load-Bearing Wall,batch_02_full_markdown_draft,"Structural alteration page: calculations, beams, padstones, fire protection, inspection sequencing.",900-1400 after Codex polish,answer_panel; route_card; evidence_checklist; inspection_checklist; approved_document_links; faq_schema
chimney-breast-removal,Chimney Breast Removal,batch_02_full_markdown_draft,Structural support and party-wall-aware guidance for partial/full chimney breast removal.,900-1400 after Codex polish,answer_panel; route_card; evidence_checklist; inspection_checklist; approved_document_links; faq_schema
windows-and-doors,Windows and Doors,batch_02_full_markdown_draft,"Competent person route, ventilation, safety glazing and escape window issues.",900-1400 after Codex polish,answer_panel; route_card; evidence_checklist; inspection_checklist; approved_document_links; faq_schema
electrical-work,Electrical Work,batch_02_full_markdown_draft,"Part P, notifiable work, registered electricians and evidence retention.",900-1400 after Codex polish,answer_panel; route_card; evidence_checklist; inspection_checklist; approved_document_links; faq_schema
bathrooms,Bathrooms,batch_02_full_markdown_draft,"New bathroom routing for drainage, ventilation, hot water safety and bathroom-zone electrics.",900-1400 after Codex polish,answer_panel; route_card; evidence_checklist; inspection_checklist; approved_document_links; faq_schema
boilers-heating,Boilers and Heating,batch_02_full_markdown_draft,"Heating system routing through competent installers, flues, controls and completion evidence.",900-1400 after Codex polish,answer_panel; route_card; evidence_checklist; inspection_checklist; approved_document_links; faq_schema
solar-panels,Solar Panels,batch_02_full_markdown_draft,Structural/electrical/project overlap page for roof-mounted solar and batteries.,900-1400 after Codex polish,answer_panel; route_card; evidence_checklist; inspection_checklist; approved_document_links; faq_schema
